,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore
0,1546300800000,3701.23,3732.0,3675.04,3707.54,9343.442916,1546343999999,34603599.443280354,65394,5104.962522,18907415.83295787,0
1,1546344000000,3707.56,3810.16,3642.0,3797.14,14398.244117000002,1546387199999,53545649.649024256,88833,7814.193377,29066020.033900127,0
2,1546387200000,3796.45,3810.0,3750.45,3787.97,14129.682936000001,1546430399999,53399965.00215542,95499,6760.119605,25553986.4946348,0
3,1546430400000,3788.81,3882.14,3778.23,3858.56,21026.780433,1546473599999,80476662.24435517,123039,11161.480509,42723911.16642308,0
4,1546473600000,3857.57,3862.74,3783.0,3804.0,13870.6651,1546516799999,53027981.969366536,95348,6875.575901,26290848.24537375,0
5,1546516800000,3803.31,3823.0,3730.0,3766.78,15536.283259,1546559999999,58629390.72589815,104464,7917.507366,29881647.18155609,0
6,1546560000000,3767.2,3800.0,3730.0,3757.55,13060.171642000001,1546603199999,49265148.145636454,89605,6845.955765,25829348.65175304,0
7,1546603200000,3754.05,3823.64,3703.57,3792.01,16459.383029,1546646399999,61769402.4950255,102627,8733.347493,32786855.326143432,0
8,1546646400000,3790.09,3840.99,3770.0,3801.26,15891.695697000001,1546689599999,60513336.47890158,100683,7852.496116,29898703.208582632,0
9,1546689600000,3801.03,3820.0,3751.0,3770.96,14598.972054,1546732799999,55380164.7962572,102990,7056.418059,26768752.17757672,0
10,1546732800000,3771.12,3820.82,3740.0,3814.24,11446.266459,1546775999999,43276132.06246352,81519,6091.71926,23039761.1462535,0
11,1546776000000,3814.23,4027.71,3785.0,3987.6,25107.54025,1546819199999,98922680.12668356,158977,13681.167748,53863944.78381769,0
12,1546819200000,3987.62,4017.9,3921.53,3976.76,18021.652720000002,1546862399999,71777027.57176962,115097,9219.375509000001,36719723.38003269,0
13,1546862400000,3976.78,4000.0,3941.0,3975.45,13848.193544,1546905599999,55053352.92110277,106122,7184.976732,28567888.2705287,0
14,1546905600000,3976.76,4018.0,3922.0,4001.59,16252.428111,1546948799999,64387956.08991993,106503,8391.866213,33253350.79192786,0
15,1546948800000,4002.32,4069.8,3903.0,3955.13,22648.995011,1546991999999,90390890.45244622,136395,11656.111388,46527754.10345879,0
16,1546992000000,3955.45,4006.81,3930.04,3986.44,14463.608386,1547035199999,57589674.71040727,103937,7405.102835,29489680.0251855,0
