,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore,id
0,1546300800000,131.45,140.67,130.0,139.1,401776.88797000004,1546387199999,54280385.598127,125799,204877.27101,27658986.5487891,0,
1,1546387200000,139.1,155.37,137.76,152.01,941486.3152399999,1546473599999,138801471.1186518,253070,452778.41302000004,66826091.4154906,0,
2,1546473600000,152.01,153.64,143.11,146.3,708091.3171399999,1546559999999,104953535.1485126,206600,345065.32126,51146898.619038805,0,
3,1546560000000,146.3,154.8,143.54,151.97,805248.93821,1546646399999,120827141.5442279,224385,398803.89556,59878325.527825095,0,
4,1546646400000,152.08,159.26,151.2,152.83,773169.13736,1546732799999,120238339.7822187,231172,383106.49462,59615248.344872706,0,
5,1546732800000,152.83,157.4,147.51,153.86,627908.4736599999,1546819199999,95681339.4600648,204337,318359.8694,48525641.3337721,0,
6,1546819200000,153.89,155.48,147.86,149.34,424765.30257999996,1546905599999,64310962.9190328,157568,205545.31494,31132597.0580687,0,
7,1546905600000,149.29,151.65,145.2,147.6,441661.06778000004,1546991999999,65535529.7557393,170585,220205.8156,32665110.281397097,0,
8,1546992000000,147.62,151.5,146.77,148.1,299443.56299999997,1547078399999,44673066.391582,125358,154466.46065999998,23055106.0669205,0,
9,1547078400000,148.11,149.45,121.0,124.95,871751.7503800001,1547164799999,114437025.2827277,290765,432162.78581000003,56667564.77790819,0,
10,1547164800000,124.96,127.36,120.08,124.65,545293.9836899999,1547251199999,67782816.33759871,197047,286390.42731,35610799.2804517,0,
11,1547251200000,124.67,126.19,122.0,123.35,300262.13404000003,1547337599999,37295866.3538343,122024,159060.66029000003,19774152.7462819,0,
12,1547337600000,123.35,124.25,111.87,114.16,422561.96777,1547423999999,49521201.27646619,137005,228755.00345000002,26767549.319991402,0,
13,1547424000000,114.17,130.05,113.94,126.95,546420.40854,1547510399999,66801543.30503659,181074,283172.06565,34555073.948149696,0,
14,1547510400000,126.95,129.4,116.0,118.95,649020.5297000001,1547596799999,79985529.5587708,200989,323384.20597,39784995.5736818,0,
15,1547596800000,118.93,126.88,118.52,121.48,513486.65472,1547683199999,62314225.996043205,192912,260457.57444,31607466.009335898,0,
16,1547683200000,121.49,122.99,116.8,121.54,447535.22716,1547769599999,53854069.21051171,169098,231192.403,27839121.1473983,0,
17,1547769600000,121.56,121.98,117.66,119.17,235646.684,1547855999999,28305971.6688854,112833,118574.39197,14246528.4825557,0,
18,1547856000000,119.16,125.29,119.14,122.6,323303.79296,1547942399999,39715159.1649606,117187,159926.95718000003,19624976.278463602,0,
19,1547942400000,122.61,123.32,115.68,117.47,451792.85352,1548028799999,53833668.9066349,164941,222998.00633,26556584.792859502,0,
20,1548028800000,117.56,118.5,113.61,115.63,303632.93463,1548115199999,35258073.4282649,119538,151719.15902999998,17621439.7431546,0,
21,1548115200000,115.62,119.49,111.39,117.81,359542.63873,1548201599999,41777737.4704705,134797,191477.42643,22269617.0685721,0,
22,1548201600000,117.8,118.95,114.8,116.44,230247.61577999996,1548287999999,26975386.3924584,102993,116161.13221,13613289.982445199,0,
23,1548288000000,116.4,117.15,113.61,116.39,216242.29829,1548374399999,25044265.7542041,90622,109084.23084999999,12638375.4406635,0,
24,1548374400000,116.4,117.5,114.3,115.11,198617.08107999997,1548460799999,22977175.954119302,85660,98562.49082,11406338.5773185,0,
25,1548460800000,115.13,118.0,115.0,115.34,146216.82819,1548547199999,16978386.1972377,68368,75224.68609,8737349.0431997,0,
26,1548547200000,115.32,116.15,111.04,112.05,247369.60555,1548633599999,28158012.7304768,97152,118671.53907,13516227.6093887,0,
27,1548633600000,112.04,112.87,100.91,105.5,566205.7828800001,1548719999999,60050129.3863579,177547,280135.35398,29726784.9809435,0,
