,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore,id
0,1609448400000,743.96,745.0,736.52,738.24,18490.321509999998,1609451999999,13694948.707971001,30586,9819.913729999998,7274555.653311299,0,
1,1609452000000,738.23,742.5,735.88,740.48,11375.605099999997,1609455599999,8414470.1971805,9910,5520.89173,4084256.6621403997,0,
2,1609455600000,740.46,741.7,731.83,736.42,19450.082150000002,1609459199999,14348370.267647397,17769,9884.865119999999,7293264.4116411,0,
3,1609459200000,736.42,739.0,729.33,734.07,27932.69884,1609462799999,20479903.4760359,22671,15020.616629999999,11015918.972214699,0,
4,1609462800000,734.08,749.0,733.37,748.28,52336.18779,1609466399999,38899618.8530135,41712,27395.9027,20362373.933502894,0,
5,1609466400000,748.27,749.0,742.27,744.06,33019.501000000004,1609469999999,24606726.438367195,19566,17721.26696,13207123.3520841,0,
6,1609470000000,744.06,747.23,743.1,744.82,17604.808589999997,1609473599999,13119088.4004137,12230,9499.7492,7079926.3108748,0,
7,1609473600000,744.87,747.09,739.3,742.29,18794.154239999996,1609477199999,13980190.9714686,13626,10133.742110000001,7539500.2868721,0,
8,1609477200000,742.34,743.23,739.5,740.65,14948.264470000002,1609480799999,11079350.2390266,11032,7733.14162,5731472.4157925015,0,
9,1609480800000,740.72,743.25,737.04,739.97,17106.994950000004,1609484399999,12658465.3899019,12041,7803.152169999999,5774894.2817939995,0,
10,1609484400000,739.87,740.51,734.4,737.38,21624.68945,1609487999999,15934710.936921502,19976,10407.773120000002,7670628.2297335,0,
11,1609488000000,737.37,738.48,725.1,730.07,52992.04892000001,1609491599999,38713139.835247494,38433,23184.47715,16937333.0679656,0,
12,1609491600000,730.07,734.77,728.77,733.68,22836.469729999997,1609495199999,16732025.025702402,27347,12351.595690000002,9050056.5984665,0,
13,1609495200000,733.69,738.87,733.27,736.81,22895.59711,1609498799999,16854648.5651741,15317,12317.088749999999,9067175.170135299,0,
14,1609498800000,736.82,741.76,736.11,738.85,29384.09871,1609502399999,21714429.111912902,16820,14290.334980000001,10562649.866081,0,
15,1609502400000,738.85,743.33,732.12,733.19,50190.47227999999,1609505999999,37052817.5043096,28991,26605.75907,19648257.0722184,0,
16,1609506000000,733.19,741.99,733.0,740.08,23543.563619999997,1609509599999,17364322.3754941,17334,13975.814560000003,10307816.150977401,0,
17,1609509600000,740.08,742.67,736.46,738.0,22098.37395,1609513199999,16337048.357851598,17075,12812.556070000002,9473455.7757508,0,
18,1609513200000,738.01,740.0,733.5,735.39,25671.61199,1609516799999,18909549.3415675,20847,12484.28998,9199052.1961992,0,
19,1609516800000,735.39,737.73,733.01,735.83,22249.34205,1609520399999,16368621.7550852,15461,12220.1753,8990872.705043001,0,
20,1609520400000,735.76,736.45,726.57,727.94,40914.265049999995,1609523999999,29902944.3557101,24734,17435.35692,12744050.3657862,0,
21,1609524000000,727.94,731.8,714.29,724.6,66427.75355,1609527599999,48068143.600589804,41949,28442.339409999997,20584419.0482298,0,
22,1609527600000,724.57,728.28,720.95,725.34,26866.358620000003,1609531199999,19458522.304660898,18323,13879.19268,10055377.262396699,0,
23,1609531200000,725.34,730.71,722.5,729.48,22422.29118,1609534799999,16308761.6073057,16358,11908.10461,8663259.661172898,0,
24,1609534800000,729.48,730.61,726.69,728.23,14582.153159999996,1609538399999,10627095.600012299,10537,7484.03192,5454580.5253864005,0,
25,1609538400000,728.23,731.97,725.65,728.9,14614.203529999999,1609541999999,10652530.273983998,12435,7047.868279999999,5137177.0008043,0,
26,1609542000000,728.97,730.58,727.65,728.91,14058.19051,1609545599999,10249389.4576508,8856,6834.2017000000005,4983003.6892018,0,
27,1609545600000,728.91,730.66,716.26,719.9,46190.17553,1609549199999,33359504.145189103,28029,23679.8435,17108836.016882602,0,
28,1609549200000,719.9,731.75,714.91,729.38,37985.460009999995,1609552799999,27507408.3916367,24320,20260.90589,14682081.3104943,0,
29,1609552800000,729.39,734.4,729.05,729.44,21870.252200000003,1609556399999,16001652.500519799,13551,11126.517919999998,8141055.4148816,0,
30,1609556400000,729.45,731.96,728.4,730.39,13138.56186,1609559999999,9595201.6296546,9265,6392.76908,4668395.1619394,0,
31,1609560000000,730.39,730.67,726.26,729.45,13117.649329999998,1609563599999,9555414.047907602,9531,6253.1684399999995,4554983.636992,0,
32,1609563600000,729.45,733.4,729.22,731.99,19342.913149999997,1609567199999,14151384.038269399,11683,9900.66983,7243827.1559902,0,
33,1609567200000,731.99,740.49,730.53,737.04,41590.31856,1609570799999,30589103.998500198,21769,22929.769020000003,16871240.8236209,0,
34,1609570800000,737.08,738.66,733.07,735.12,23887.39609,1609574399999,17572714.3654719,14900,11790.79438,8674254.997950299,0,
35,1609574400000,735.12,738.35,728.21,733.84,32631.45363,1609577999999,23913429.654669203,19242,16321.75539,11961031.269188702,0,
36,1609578000000,733.84,734.64,723.06,725.41,38970.42653,1609581599999,28452759.352507196,21868,17695.880499999996,12919218.6355727,0,
37,1609581600000,725.24,733.93,723.01,728.47,34642.76548,1609585199999,25241215.643278204,28773,18781.424949999997,13680298.151137799,0,
38,1609585200000,728.55,731.1,727.17,729.7,14020.08545,1609588799999,10224568.2344914,14219,6844.810269999999,4992334.6282263,0,
39,1609588800000,729.7,757.0,728.25,752.38,134011.47559999998,1609592399999,99797231.54866602,76200,76083.23260999999,56665977.534692615,0,
40,1609592400000,752.39,772.8,749.11,770.77,154115.10137000002,1609595999999,117632404.85192439,81315,82140.77041,62696272.90439901,0,
