,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore
0,1635714000000,60922.36,60971.1,60865.41,60886.81,206.10737999999998,1635714899999,12552549.643405601,9513,100.57122,6125269.7065153,0
1,1635714900000,60886.82,61175.54,60873.01,61175.54,262.65007,1635715799999,16032768.6933118,12692,116.93301,7137300.5337006,0
2,1635715800000,61175.53,61488.9,61175.53,61433.73,505.65163999999993,1635716699999,31039750.4808192,21564,216.16405,13262332.7352915,0
3,1635716700000,61433.74,61500.0,61312.42,61444.33,212.73725000000002,1635717599999,13069365.1363682,10226,116.08595999999999,7132107.4768347,0
4,1635717600000,61444.34,61524.04,61260.71,61305.62,314.90289,1635718499999,19336961.7668639,12886,171.48194,10531587.4089973,0
5,1635718500000,61306.7,61579.81,61277.6,61485.76,301.15059,1635719399999,18510941.448460102,11547,155.04701,9531151.218790097,0
6,1635719400000,61485.77,61501.0,61299.8,61349.11,154.46569,1635720299999,9480597.2188682,8274,77.71613,4769599.2512612,0
7,1635720300000,61350.31,61464.98,61313.7,61365.72,148.02185,1635721199999,9085183.5364934,6785,77.33931000000001,4746691.7861493,0
8,1635721200000,61365.72,61465.0,61170.19,61300.48,260.37156,1635722099999,15961602.871640598,9443,128.00854,7848332.126552399,0
9,1635722100000,61310.79,61620.06,61304.82,61425.0,284.05803000000003,1635722999999,17473917.3369561,9029,158.86435999999998,9772125.113631599,0
10,1635723000000,61425.0,61482.34,61290.51,61393.89,197.96591999999998,1635723899999,12153687.0435001,7342,97.71736999999999,5998863.069086301,0
11,1635723900000,61393.9,61444.15,61271.24,61299.8,204.89818999999997,1635724799999,12568079.639306199,7088,110.10525999999999,6753247.752031,0
12,1635724800000,61299.81,61570.12,61115.33,61520.04,498.88525000000004,1635725699999,30604039.2462486,16648,268.87344999999993,16495026.9084619,0
13,1635725700000,61520.03,61660.27,61439.02,61500.15,429.59853,1635726599999,26438400.034563098,15033,186.02478,11448991.700534802,0
14,1635726600000,61500.15,61589.0,61361.0,61367.14,265.71013999999997,1635727499999,16332712.527150601,11013,118.36227,7274987.1139193,0
15,1635727500000,61367.14,61565.21,61361.0,61560.49,229.14265999999998,1635728399999,14085416.7227819,9312,124.9502,7680784.1979932,0
16,1635728400000,61560.49,61728.14,61531.39,61723.61,388.0339599999999,1635729299999,23920569.301738497,13077,206.22938999999997,12712464.795672802,0
17,1635729300000,61728.06,61735.3,61600.0,61622.81,220.38109,1635730199999,13587724.9560381,8932,85.54602,5274122.679518701,0
18,1635730200000,61622.81,61661.02,61344.65,61372.35,314.89174,1635731099999,19364203.174015798,10239,126.06040999999999,7750899.6871447,0
19,1635731100000,61372.35,61434.78,61193.1,61293.26,280.82937,1635731999999,17228007.6133791,9681,116.99340000000001,7178376.1635889,0
20,1635732000000,61293.27,61407.64,61093.81,61205.79,281.5581,1635732899999,17255633.795079503,10351,131.27181,8046003.3804096,0
21,1635732900000,61205.79,61278.18,60007.33,60226.19,2308.54642,1635733799999,139415312.91172647,56981,1022.2506,61721137.82000011,0
22,1635733800000,60226.19,60628.7,60000.0,60320.48,1007.9946199999999,1635734699999,60805978.2009244,23136,495.0761100000001,29865576.333221,0
23,1635734700000,60320.48,60624.71,60300.22,60547.0,366.01199,1635735599999,22129968.482193593,9717,181.79946,10991531.980172599,0
24,1635735600000,60547.01,60623.0,60302.71,60322.07,510.02816999999993,1635736499999,30831269.6008695,12557,232.16862999999998,14035306.8870509,0
25,1635736500000,60321.57,60408.16,60239.46,60380.86,272.24057000000005,1635737399999,16421514.806927502,9371,145.27687,8763125.727244701,0
26,1635737400000,60380.85,60427.0,60243.75,60293.54,215.76524000000003,1635738299999,13017999.672362503,8017,91.56286,5524301.2878917,0
27,1635738300000,60293.54,60315.26,59700.0,59922.98,1196.05404,1635739199999,71771836.38445221,28479,470.21681,28219547.1623087,0
28,1635739200000,59915.12,60271.0,59405.0,60222.19,1408.22267,1635740099999,84168462.74407391,40928,672.9883500000001,40243335.016408406,0
29,1635740100000,60222.2,60339.99,60120.19,60250.01,344.36436999999995,1635740999999,20747567.157502297,10671,158.49938999999998,9549177.4083975,0
30,1635741000000,60250.0,60733.88,60244.88,60610.6,455.98852,1635741899999,27612117.928505495,16299,252.47885000000002,15285792.940243103,0
31,1635741900000,60610.59,60736.98,60441.13,60501.62,497.00985000000003,1635742799999,30112281.4551043,9942,258.421,15661508.187114904,0
32,1635742800000,60501.62,60835.46,60442.0,60700.02,353.54477,1635743699999,21433710.1409882,12347,196.32652000000002,11902482.267669102,0
33,1635743700000,60700.03,60857.94,60629.2,60647.87,209.97063,1635744599999,12747542.607539302,8253,103.78220000000002,6300180.970454199,0
34,1635744600000,60647.88,60754.34,60640.03,60744.14,235.85727,1635745499999,14313908.235839399,8281,121.36971,7366222.262533501,0
35,1635745500000,60744.14,60755.21,60573.83,60618.0,293.24225,1635746399999,17781958.6578521,11234,156.85087000000001,9511408.4298332,0
36,1635746400000,60618.0,60618.02,60375.26,60396.01,297.99571999999995,1635747299999,18031383.876306403,10692,136.01958,8229479.3164296,0
37,1635747300000,60396.0,60629.97,60284.0,60616.76,317.55968,1635748199999,19185548.9163427,10631,193.42985,11686746.9488344,0
38,1635748200000,60616.76,60933.95,60607.89,60830.96,461.31761,1635749099999,28054583.7384254,12999,284.09587000000005,17274296.7279166,0
39,1635749100000,60830.95,60845.84,60663.47,60741.76,266.28159000000005,1635749999999,16181339.285144595,8544,125.59061,7631897.6701356005,0
40,1635750000000,60741.76,62144.0,60732.07,62054.44,1981.68016,1635750899999,121942922.8344233,58807,1256.64736,77340637.1553439,0
41,1635750900000,62054.44,62298.0,61885.71,62052.04,1361.911,1635751799999,84590984.72635819,40874,790.1712899999999,49088508.07329671,0
42,1635751800000,62049.99,62200.0,61924.43,61949.77,855.355,1635752699999,53068087.146331,15752,465.98908,28907810.627698403,0
43,1635752700000,61949.77,62200.0,61933.83,62178.31,862.1230499999998,1635753599999,53548038.8609735,16450,383.03692000000007,23786800.848567702,0
44,1635753600000,62176.29,62437.74,62050.0,62115.83,852.8561300000002,1635754499999,53103791.28324091,29234,464.41281000000004,28921817.5587795,0
45,1635754500000,62115.83,62226.15,62045.87,62045.87,447.0218,1635755399999,27775084.6297985,13543,241.69528,15017883.767012503,0
46,1635755400000,62045.87,62188.24,61707.76,61818.0,610.9836300000002,1635756299999,37857366.64506201,18165,283.05917,17539121.5715351,0
