,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore
0,1609448400000,29126.71,29600.0,28624.57,29200.96,56576.934823999996,1609534799999,1651227087.6386037,1348451,28164.351687000002,822404291.1177309,0
1,1609534800000,29200.97,33300.0,28946.53,30667.22,114642.73921100001,1609621199999,3579282954.9600186,2007357,60052.212265,1871930876.530808,0
2,1609621200000,30669.43,34778.11,30300.0,33726.21,129812.42814700001,1609707599999,4321280553.92881,2448664,64311.593591,2140843100.4352741,0
3,1609707600000,33725.72,33861.92,28130.0,31244.97,141898.95837399998,1609793999999,4479486761.72557,2686953,68974.739153,2178734944.9513216,0
4,1609794000000,31244.97,34187.09,29900.0,33969.17,112006.421905,1609880399999,3583186735.469087,2464014,57979.75863699999,1856776597.44976,0
5,1609880400000,33968.66,36250.0,33288.0,36015.88,124524.754205,1609966799999,4307918070.354633,2542721,61955.109452000004,2145239547.7983985,0
6,1609966800000,36015.16,40365.0,35650.0,39109.38,135270.404204,1610053199999,5110032947.7406225,2819248,65996.242758,2496133992.7263784,0
7,1610053200000,39111.34,41950.0,36500.0,39059.15,141180.852387,1610139599999,5615174181.073254,2939211,67833.707478,2701681961.1599884,0
8,1610139600000,39062.88,41380.0,38652.0,40606.22,79988.39477299999,1610225999999,3219718519.043603,2091892,39683.356058000005,1597713604.1577878,0
9,1610226000000,40610.35,41350.0,35111.11,37718.88,109677.09026699999,1610312399999,4294284959.4589148,2493508,51108.6364,2002474542.2981215,0
10,1610312400000,37727.29,39000.0,30420.0,33409.8,240930.576939,1610398799999,8204876373.403744,4314852,117892.24598800001,4016402004.9835777,0
11,1610398800000,33410.75,36628.0,32531.0,34287.95,143959.156755,1610485199999,5003880327.0661335,2825142,70360.784686,2446270281.0026712,0
12,1610485200000,34287.95,36450.01,32380.0,36222.07,121367.65895099999,1610571599999,4162241064.391124,2446746,62183.845833,2135198591.4941297,0
13,1610571600000,36222.07,40100.0,36110.76,39312.86,106190.057699,1610657999999,4070984527.0721617,2338586,52701.64522599999,2020552219.85269,0
14,1610658000000,39321.64,39747.76,34408.0,35605.7,122631.84337100001,1610744399999,4563968050.157234,2656147,59992.488421,2233174796.1833935,0
15,1610744400000,35605.7,37950.0,35520.0,36711.16,84263.075668,1610830799999,3106772258.29428,2032212,42320.705993,1560952224.555275,0
16,1610830800000,36713.85,36744.05,33850.0,36072.99,82697.376876,1610917199999,2931614755.6900406,1914836,39657.202883,1406242701.6652474,0
17,1610917200000,36073.88,37469.83,34800.0,36102.79,75066.169013,1611003599999,2713441721.0508623,1786213,37762.424754,1367175731.1199112,0
18,1611003600000,36102.79,37850.0,35960.0,36436.26,77354.84779700001,1611089999999,2853161225.479709,1888364,38364.895169999996,1415716538.5185752,0
19,1611090000000,36436.26,36777.88,33400.0,34957.15,90028.342604,1611176399999,3159249119.3578987,2239661,42147.314813,1479238793.3797624,0
20,1611176400000,34957.15,35670.0,31037.0,31883.01,122521.156082,1611262799999,4027506894.3961535,2677061,58468.461457,1922689005.3161457,0
21,1611262800000,31880.9,33826.53,28850.0,33503.2,153777.153851,1611349199999,4800175448.892509,2917341,73998.15054,2311471895.4247975,0
22,1611349200000,33501.36,33668.88,31390.16,32191.33,67139.319385,1611435599999,2179412588.075717,1734883,34273.128841,1112618191.8682542,0
23,1611435600000,32192.93,33071.0,30900.0,31673.26,57736.616158,1611521999999,1857605297.3584719,1489847,27504.877593999998,885802910.889052,0
24,1611522000000,31673.26,34875.0,31573.31,33470.2,82121.50009799999,1611608399999,2748382824.1917953,1993980,42278.885989,1415044985.9008865,0
25,1611608400000,33463.51,33464.21,30837.37,31986.99,90007.43785799999,1611694799999,2873034536.9715424,2111309,43809.535754,1398812349.171071,0
26,1611694800000,31986.98,32921.88,29241.72,31520.2,93899.865804,1611781199999,2908709666.903822,2036176,46189.992003,1431989788.0167918,0
27,1611781200000,31520.2,32900.0,29842.1,32577.96,86827.351979,1611867599999,2736618971.5659,1953906,43060.580101,1357853196.63217,0
28,1611867600000,32577.97,38531.9,31915.4,34574.61,233298.51924599998,1611953999999,8228290529.714821,4414045,117421.368158,4143551669.5273376,0
