,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore
0,1604178000000,13837.99,13848.22,13807.44,13838.82,990.568484,1604181599999,13701837.383168882,22619,400.39741499999997,5538429.622292461,0
1,1604181600000,13838.83,13890.0,13816.38,13866.99,1353.1645509999998,1604185199999,18747163.69880452,32695,663.8728,9199317.511354001,0
2,1604185200000,13866.89,13869.64,13762.61,13791.0,1667.82276,1604188799999,23020381.325492356,33941,800.9975539999998,11055641.178385029,0
3,1604188800000,13791.0,13895.0,13660.0,13725.95,3504.288678,1604192399999,48255602.5738744,50886,1504.2554309999998,20721556.042790648,0
4,1604192400000,13725.96,13772.02,13707.68,13759.9,971.786119,1604195999999,13358419.33872695,19758,488.63580499999995,6717427.44027676,0
5,1604196000000,13759.91,13774.96,13686.14,13715.88,903.8243020000001,1604199599999,12417628.5284336,17441,452.63440699999995,6219762.4768507695,0
6,1604199600000,13715.88,13733.9,13641.0,13690.01,1170.7882450000002,1604203199999,16023429.642327309,22383,519.1125270000001,7105688.112004871,0
7,1604203200000,13690.01,13701.05,13603.0,13677.25,1557.0906979999997,1604206799999,21260181.001507785,25765,815.8291069999999,11142121.205137251,0
8,1604206800000,13677.24,13755.0,13658.47,13698.23,1078.7344739999999,1604210399999,14793247.11697678,20771,588.790017,8075153.563848571,0
9,1604210400000,13698.23,13746.75,13680.23,13714.56,1094.3762129999998,1604213999999,15008531.027400041,19454,540.118116,7408587.62121627,0
10,1604214000000,13714.57,13809.16,13710.52,13792.51,1329.8539429999998,1604217599999,18298061.51579021,22367,747.909945,10290559.16027221,0
11,1604217600000,13792.51,13812.0,13729.88,13748.62,1278.274957,1604221199999,17599040.35801786,20494,552.303213,7603505.897793551,0
12,1604221200000,13748.62,13762.07,13672.0,13687.52,1376.7869529999998,1604224799999,18889159.56148974,22661,698.221623,9581949.517044462,0
13,1604224800000,13687.52,13746.52,13680.3,13725.67,1299.814837,1604228399999,17828543.22392669,19817,781.03017,10713447.350984732,0
14,1604228400000,13725.94,13783.95,13655.01,13696.58,1944.9237279999998,1604231999999,26657779.2027877,30027,873.0905309999998,11966127.71956366,0
15,1604232000000,13696.58,13771.59,13668.09,13760.41,1755.846666,1604235599999,24095622.207652807,26456,812.7312279999999,11153834.435675548,0
